ticker,pole,ranker_rank,ranker_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
MARUY,VXUS,33.0,84.0,STRONG_BUY,90.0,True,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
GLW,VXUS,36.0,83.1,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
ATI,XLI,43.0,82.0,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
VIAV,QQQ,44.0,81.9,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
ASX,XLK,49.0,81.6,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
MIELY,VXUS,50.0,81.5,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
COPX,IAU,52.0,81.4,,,True,TRENDING,,4.9,,none,3,"['ranker', 'qualifier', 'secrot']",
GDMN,IAU,59.0,80.5,,,True,TRENDING,,4.3,,none,3,"['ranker', 'qualifier', 'secrot']",
HWM,XLI,62.0,80.2,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
SCHY,VGK,66.0,79.9,,,False,TRENDING,,3.1,,none,3,"['ranker', 'qualifier', 'secrot']",
XLU,XLU,68.0,79.4,STRONG_BUY,90.0,,,,2.2,,none,3,"['ranker', 'advanced', 'secrot']",
ICOW,VXUS,68.0,79.4,,,True,TRENDING,,3.6,,none,3,"['ranker', 'qualifier', 'secrot']",
EZPW,XLI,71.0,79.0,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
REMX,IAU,73.0,78.8,,,True,TRENDING,,4.0,,none,3,"['ranker', 'qualifier', 'secrot']",
RAAX,IAU,73.0,78.8,,,True,TRENDING,,3.3,,none,3,"['ranker', 'qualifier', 'secrot']",
VPU,XLU,75.0,78.7,STRONG_BUY,90.0,,,,2.2,,none,3,"['ranker', 'advanced', 'secrot']",
EPU,IAU,75.0,78.7,,,True,TRENDING,,4.6,,none,3,"['ranker', 'qualifier', 'secrot']",
MTRN,XLB,78.0,78.6,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
AVDV,VXUS,79.0,78.5,,,True,TRENDING,,3.7,,none,3,"['ranker', 'qualifier', 'secrot']",
RODM,VGK,80.0,78.1,,,False,TRENDING,,3.2,,none,3,"['ranker', 'qualifier', 'secrot']",
ICOP,IAU,80.0,78.1,,,True,TRENDING,,2.0,,none,3,"['ranker', 'qualifier', 'secrot']",
THC,--,83.0,78.0,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
FNDF,VXUS,84.0,77.9,,,True,TRENDING,,3.5,,none,3,"['ranker', 'qualifier', 'secrot']",
SII,IAU,90.0,77.2,,,False,TRENDING,,5.0,,none,3,"['ranker', 'qualifier', 'secrot']",
PXF,VXUS,93.0,76.9,,,True,TRENDING,,4.5,,none,3,"['ranker', 'qualifier', 'secrot']",
DISV,VXUS,100.0,76.5,,,True,TRENDING,,3.6,,none,3,"['ranker', 'qualifier', 'secrot']",
FDT,VXUS,100.0,76.5,,,True,TRENDING,,3.4,,none,3,"['ranker', 'qualifier', 'secrot']",
AXTI,QQQ,102.0,76.4,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
BKR,XLE,104.0,76.2,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
LVHI,XLB,110.0,75.6,,,False,TRENDING,,3.4,,none,3,"['ranker', 'qualifier', 'secrot']",
FIDI,VXUS,113.0,75.4,,,False,TRENDING,,3.4,,none,3,"['ranker', 'qualifier', 'secrot']",
THD,VXUS,115.0,75.1,STRONG_BUY,90.0,,,,4.1,,none,3,"['ranker', 'advanced', 'secrot']",
GMOI,VGK,119.0,74.7,,,True,TRENDING,,2.1,,none,3,"['ranker', 'qualifier', 'secrot']",
ORR,SPY,119.0,74.7,,,False,TRENDING,,3.3,,none,3,"['ranker', 'qualifier', 'secrot']",
AVIV,VXUS,121.0,74.6,,,True,TRENDING,,3.3,,none,3,"['ranker', 'qualifier', 'secrot']",
DFIS,VXUS,125.0,74.2,,,True,TRENDING,,3.4,,none,3,"['ranker', 'qualifier', 'secrot']",
CAMT,XLK,128.0,73.9,STRONG_BUY,90.0,True,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
DIHP,VGK,128.0,73.9,,,False,TRENDING,,3.1,,none,3,"['ranker', 'qualifier', 'secrot']",
DFIC,VXUS,131.0,73.6,,,True,TRENDING,,3.3,,none,3,"['ranker', 'qualifier', 'secrot']",
IGLD,IAU,131.0,73.6,,,True,TRENDING,,4.9,,none,3,"['ranker', 'qualifier', 'secrot']",
GEV,XLI,133.0,73.5,STRONG_BUY,90.0,True,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
STX,XLK,137.0,73.1,STRONG_BUY,90.0,False,DIP,,,,none,3,"['ranker', 'advanced', 'qualifier']",
MGNR,IAU,141.0,72.8,,,True,TRENDING,,3.1,,none,3,"['ranker', 'qualifier', 'secrot']",
IDV,VXUS,143.0,72.7,,,True,TRENDING,,4.3,,none,3,"['ranker', 'qualifier', 'secrot']",
POWL,XLI,146.0,72.5,STRONG_BUY,90.0,True,DIP,,,,none,3,"['ranker', 'advanced', 'qualifier']",
XSOE,VXUS,146.0,72.5,,,True,TRENDING,,4.5,,none,3,"['ranker', 'qualifier', 'secrot']",
HALFF,XLC,150.0,72.4,,,False,TRENDING,,3.3,,none,3,"['ranker', 'qualifier', 'secrot']",
JHEM,VXUS,150.0,72.4,,,True,TRENDING,,4.9,,none,3,"['ranker', 'qualifier', 'secrot']",
PWR,XLI,150.0,72.4,STRONG_BUY,90.0,True,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
CHAT,--,,,STRONG_BUY,90.0,True,PULLBACK,,5.9,,none,3,"['advanced', 'qualifier', 'secrot']",
DTCR,--,,,STRONG_BUY,90.0,True,PULLBACK,,2.9,,none,3,"['advanced', 'qualifier', 'secrot']",
DXJ,--,,,STRONG_BUY,90.0,False,TRENDING,,3.7,,none,3,"['advanced', 'qualifier', 'secrot']",
EWJV,--,,,STRONG_BUY,90.0,False,TRENDING,,3.6,,none,3,"['advanced', 'qualifier', 'secrot']",
EWJ,--,,,STRONG_BUY,90.0,False,TRENDING,,3.5,,none,3,"['advanced', 'qualifier', 'secrot']",
FLJP,--,,,STRONG_BUY,90.0,False,TRENDING,,3.6,,none,3,"['advanced', 'qualifier', 'secrot']",
GRID,--,,,STRONG_BUY,90.0,True,TRENDING,,3.5,,none,3,"['advanced', 'qualifier', 'secrot']",
IPAC,--,,,STRONG_BUY,90.0,False,TRENDING,,3.5,,none,3,"['advanced', 'qualifier', 'secrot']",
IYZ,--,,,STRONG_BUY,90.0,False,TRENDING,,3.8,,none,3,"['advanced', 'qualifier', 'secrot']",
NORW,--,,,STRONG_BUY,90.0,False,TRENDING,,0.4,,none,3,"['advanced', 'qualifier', 'secrot']",
NUKZ,--,,,STRONG_BUY,90.0,True,TRENDING,,4.4,,none,3,"['advanced', 'qualifier', 'secrot']",
PSI,--,,,STRONG_BUY,90.0,True,DIP,,5.1,,none,3,"['advanced', 'qualifier', 'secrot']",
PWRD,--,,,STRONG_BUY,90.0,True,PULLBACK,,3.8,,none,3,"['advanced', 'qualifier', 'secrot']",
VNQI,--,,,STRONG_BUY,90.0,False,TRENDING,,3.4,,none,3,"['advanced', 'qualifier', 'secrot']",
PSLV,--,,,,,True,TRENDING,,3.6,7.0,none,3,"['qualifier', 'secrot', 'stock_secrot']",Financial Services
SLGL,--,1.0,97.2,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
LUNMF,IAU,3.0,94.4,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
KPELY,--,4.0,93.2,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
BLTE,--,5.0,92.6,,,True,TRENDING,,,,none,2,"['ranker', 'qualifier']",
TERN,--,7.0,91.6,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
NESRF,IAU,8.0,91.3,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
SCCO,IAU,9.0,91.2,,,True,TRENDING,,,,none,2,"['ranker', 'qualifier']",
PRAX,--,16.0,87.8,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
LINC,--,17.0,87.4,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
HBM,IAU,18.0,87.3,,,True,TRENDING,,,,none,2,"['ranker', 'qualifier']",
JNJ,XLV,18.0,87.3,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
MTSI,XLK,20.0,87.0,,,True,PULLBACK,,,,none,2,"['ranker', 'qualifier']",
TIGO,XLRE,21.0,86.8,,,True,TRENDING,,,,none,2,"['ranker', 'qualifier']",
COHR,XLK,23.0,86.0,,,True,TRENDING,,,,none,2,"['ranker', 'qualifier']",
ORANY,--,24.0,85.8,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
NESR,--,26.0,85.4,,,False,PULLBACK,,,,none,2,"['ranker', 'qualifier']",
OBYCF,XLB,29.0,84.9,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
CAH,--,31.0,84.7,,,True,TRENDING,,,,none,2,"['ranker', 'qualifier']",
DNTH,--,34.0,83.8,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
BVN,IAU,35.0,83.3,,,True,TRENDING,,,,none,2,"['ranker', 'qualifier']",
GOLY,IAU,37.0,82.9,,,,,,3.2,,none,2,"['ranker', 'secrot']",
STNG,--,40.0,82.5,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
DGX,XLRE,41.0,82.4,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
FTI,XLE,42.0,82.2,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
ROST,XLI,44.0,81.9,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
TEN,--,47.0,81.8,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
SITM,XLK,53.0,81.0,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
WDC,XLK,55.0,80.9,,,False,PULLBACK,,,,none,2,"['ranker', 'qualifier']",
NVS,XLV,55.0,80.9,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
SNDK,XLK,57.0,80.7,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
RBC,XLI,57.0,80.7,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
NBTX,--,59.0,80.5,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
XEL,XLU,62.0,80.2,BUY,75.0,,,,,,none,2,"['ranker', 'advanced']",
AMX,VXUS,64.0,80.1,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
HROW,XLI,67.0,79.5,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
VPL,VXUS,68.0,79.4,,,,,,4.0,,none,2,"['ranker', 'secrot']",
AEP,XLU,75.0,78.7,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
XOM,XLE,80.0,78.1,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
CTRE,TLT,84.0,77.9,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
EDRY,XLC,87.0,77.3,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
WMB,XLE,87.0,77.3,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
FER,VGK,90.0,77.2,,,True,TRENDING,,,,none,2,"['ranker', 'qualifier']",
NYT,XLC,92.0,77.1,,,True,TRENDING,,,,none,2,"['ranker', 'qualifier']",
GLD,IAU,94.0,76.8,,,,,,3.6,,none,2,"['ranker', 'secrot']",
PHYS,IAU,94.0,76.8,,,,,,3.3,,none,2,"['ranker', 'secrot']",
SGOL,IAU,94.0,76.8,,,,,,3.2,,none,2,"['ranker', 'secrot']",
IAU,IAU,97.0,76.7,,,,,,3.6,,none,2,"['ranker', 'secrot']",
IMAX,--,98.0,76.6,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
EVRG,XLU,98.0,76.6,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
CCNR,XLB,102.0,76.4,,,True,TRENDING,,,,none,2,"['ranker', 'qualifier']",
WFRD,XLE,104.0,76.2,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
TPB,XLU,106.0,76.1,,,True,TRENDING,,,,none,2,"['ranker', 'qualifier']",
FUWAY,--,106.0,76.1,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
KMI,XLE,108.0,75.7,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
CME,XLRE,110.0,75.6,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
ORLA,IAU,112.0,75.5,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
KGC,IAU,117.0,74.9,,,True,TRENDING,,,,none,2,"['ranker', 'qualifier']",
AJINY,--,117.0,74.9,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
DAN,XLB,123.0,74.4,,,False,PULLBACK,,,,none,2,"['ranker', 'qualifier']",
TJX,--,124.0,74.3,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
TYRA,--,126.0,74.1,,,True,TRENDING,,,,none,2,"['ranker', 'qualifier']",
SBLK,--,134.0,73.3,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
VTR,XLRE,134.0,73.3,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
NGXXF,IAU,136.0,73.2,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
WMT,XLP,138.0,73.0,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
AAOI,XLK,141.0,72.8,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
AGI,IAU,145.0,72.6,,,False,TRENDING,,,,none,2,"['ranker', 'qualifier']",
WELL,XLRE,146.0,72.5,BUY,75.0,,,,,,none,2,"['ranker', 'advanced']",
TTE,XLE,146.0,72.5,STRONG_BUY,90.0,,,,,,none,2,"['ranker', 'advanced']",
EZA,IAU,150.0,72.4,,,,,,5.1,,none,2,"['ranker', 'secrot']",
ACMR,--,,,STRONG_BUY,90.0,True,BREAKDOWN,,,,none,2,"['advanced', 'qualifier']",
AEIS,--,,,STRONG_BUY,90.0,True,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
AMAT,--,,,STRONG_BUY,90.0,True,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
ASML,--,,,STRONG_BUY,90.0,True,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
ATEYY,--,,,STRONG_BUY,90.0,True,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
BBJP,--,,,STRONG_BUY,90.0,,,,3.5,,none,2,"['advanced', 'secrot']",
BKD,--,,,STRONG_BUY,90.0,True,DIP,,,,none,2,"['advanced', 'qualifier']",
BWA,--,,,STRONG_BUY,90.0,False,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
CAT,--,,,STRONG_BUY,90.0,True,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
CLMT,--,,,STRONG_BUY,90.0,False,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
CMCL,--,,,BUY,75.0,True,TRENDING,,,,none,2,"['advanced', 'qualifier']",
CSX,--,,,STRONG_BUY,90.0,False,TRENDING,,,,none,2,"['advanced', 'qualifier']",
ESE,--,,,STRONG_BUY,90.0,False,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
ES,--,,,STRONG_BUY,90.0,False,TRENDING,,,,none,2,"['advanced', 'qualifier']",
FDX,--,,,STRONG_BUY,90.0,False,TRENDING,,,,none,2,"['advanced', 'qualifier']",
FIX,--,,,STRONG_BUY,90.0,True,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
FNV,--,,,STRONG_BUY,90.0,True,TRENDING,,,,none,2,"['advanced', 'qualifier']",
FPLSF,--,,,STRONG_BUY,90.0,False,TRENDING,,,,none,2,"['advanced', 'qualifier']",
GE,--,,,STRONG_BUY,90.0,False,TRENDING,,,,none,2,"['advanced', 'qualifier']",
GNK,--,,,STRONG_BUY,90.0,False,TRENDING,,,,none,2,"['advanced', 'qualifier']",
GSK,--,,,STRONG_BUY,90.0,False,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
ICF,--,,,STRONG_BUY,90.0,,,,1.4,,none,2,"['advanced', 'secrot']",
IESC,--,,,STRONG_BUY,90.0,True,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
ITT,--,,,STRONG_BUY,90.0,False,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
JCI,--,,,STRONG_BUY,90.0,False,TRENDING,,,,none,2,"['advanced', 'qualifier']",
LASR,--,,,STRONG_BUY,90.0,False,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
LRCX,--,,,STRONG_BUY,90.0,True,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
MFG,--,,,STRONG_BUY,90.0,True,BREAKDOWN,,,,none,2,"['advanced', 'qualifier']",
MKSI,--,,,STRONG_BUY,90.0,True,DIP,,,,none,2,"['advanced', 'qualifier']",
MOD,--,,,STRONG_BUY,90.0,False,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
MPWR,--,,,STRONG_BUY,90.0,True,BREAKDOWN,,,,none,2,"['advanced', 'qualifier']",
MT,--,,,STRONG_BUY,90.0,True,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
NGLOY,--,,,STRONG_BUY,90.0,True,TRENDING,,,,none,2,"['advanced', 'qualifier']",
PAVE,--,,,STRONG_BUY,90.0,,,,4.6,,none,2,"['advanced', 'secrot']",
PL,--,,,STRONG_BUY,90.0,False,BREAKDOWN,,,,none,2,"['advanced', 'qualifier']",
PLXS,--,,,STRONG_BUY,90.0,True,BREAKDOWN,,,,none,2,"['advanced', 'qualifier']",
RYCEY,--,,,STRONG_BUY,90.0,True,TRENDING,,,,none,2,"['advanced', 'qualifier']",
SMFG,--,,,STRONG_BUY,90.0,True,DIP,,,,none,2,"['advanced', 'qualifier']",
STRL,--,,,STRONG_BUY,90.0,True,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
TDIV,--,,,BUY,75.0,,,,3.3,,none,2,"['advanced', 'secrot']",
TER,--,,,STRONG_BUY,90.0,False,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
TOELY,--,,,STRONG_BUY,90.0,True,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
TPR,--,,,STRONG_BUY,90.0,False,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
TUR,--,,,STRONG_BUY,90.0,,,,4.1,,none,2,"['advanced', 'secrot']",
TSM,--,,,STRONG_BUY,90.0,True,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
TRV,--,,,BUY,75.0,False,TRENDING,,,,none,2,"['advanced', 'qualifier']",
VAL,--,,,STRONG_BUY,90.0,False,TRENDING,,,,none,2,"['advanced', 'qualifier']",
VDE,--,,,STRONG_BUY,90.0,,,,0.8,,none,2,"['advanced', 'secrot']",
VIV,--,,,STRONG_BUY,90.0,False,TRENDING,,,,none,2,"['advanced', 'qualifier']",
VOLT,--,,,STRONG_BUY,90.0,True,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
VRT,--,,,STRONG_BUY,90.0,False,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
WWD,--,,,STRONG_BUY,90.0,False,PULLBACK,,,,none,2,"['advanced', 'qualifier']",
XLE,--,,,STRONG_BUY,90.0,,,,0.8,,none,2,"['advanced', 'secrot']",
XOP,--,,,STRONG_BUY,90.0,,,,0.6,,none,2,"['advanced', 'secrot']",
SLV,--,,,,,True,TRENDING,,4.3,,none,2,"['qualifier', 'secrot']",
SIVR,--,,,,,True,TRENDING,,4.0,,none,2,"['qualifier', 'secrot']",
RING,--,,,,,True,TRENDING,,3.5,,none,2,"['qualifier', 'secrot']",
SGDJ,--,,,,,True,TRENDING,,3.9,,none,2,"['qualifier', 'secrot']",
GDXJ,--,,,,,True,TRENDING,,3.4,,none,2,"['qualifier', 'secrot']",
GOEX,--,,,,,True,TRENDING,,3.4,,none,2,"['qualifier', 'secrot']",
GDX,--,,,,,True,TRENDING,,4.3,,none,2,"['qualifier', 'secrot']",
SILJ,--,,,,,True,TRENDING,,3.4,,none,2,"['qualifier', 'secrot']",
SGDM,--,,,,,True,TRENDING,,3.8,,none,2,"['qualifier', 'secrot']",
SLVP,--,,,,,True,TRENDING,,3.3,,none,2,"['qualifier', 'secrot']",
CDE,--,,,,,False,TRENDING,,,7.0,bullish,2,"['qualifier', 'stock_secrot']",Basic Materials
SIL,--,,,,,True,TRENDING,,3.3,,none,2,"['qualifier', 'secrot']",
HL,--,,,,,False,TRENDING,,,7.0,bullish,2,"['qualifier', 'stock_secrot']",Basic Materials
SBSW,--,,,,,False,TRENDING,,,8.0,bullish,2,"['qualifier', 'stock_secrot']",Basic Materials
KTOS,--,,,,,True,BREAKDOWN,,,7.0,none,2,"['qualifier', 'stock_secrot']",Industrials
PAAS,--,,,,,True,TRENDING,,,7.0,bullish,2,"['qualifier', 'stock_secrot']",Basic Materials
SETM,--,,,,,True,TRENDING,,4.6,,none,2,"['qualifier', 'secrot']",
COPJ,--,,,,,True,TRENDING,,2.0,,none,2,"['qualifier', 'secrot']",
HII,--,,,,,True,TRENDING,,,7.0,none,2,"['qualifier', 'stock_secrot']",Industrials
PLTM,--,,,,,True,TRENDING,,3.3,,none,2,"['qualifier', 'secrot']",
PPLT,--,,,,,True,TRENDING,,3.4,,none,2,"['qualifier', 'secrot']",
KDEF,--,,,,,True,TRENDING,,4.2,,none,2,"['qualifier', 'secrot']",
FTAI,--,,,,,True,TRENDING,,,7.0,none,2,"['qualifier', 'stock_secrot']",Industrials
CEF,--,,,,,True,TRENDING,,4.1,,none,2,"['qualifier', 'secrot']",
XME,--,,,,,True,BREAKDOWN,,5.2,,none,2,"['qualifier', 'secrot']",
URA,--,,,,,True,BREAKDOWN,,4.1,,none,2,"['qualifier', 'secrot']",
URNJ,--,,,,,True,PULLBACK,,6.9,,none,2,"['qualifier', 'secrot']",
AFK,--,,,,,True,TRENDING,,4.2,,none,2,"['qualifier', 'secrot']",
FRDM,--,,,,,True,TRENDING,,4.1,,none,2,"['qualifier', 'secrot']",
BATT,--,,,,,True,TRENDING,,4.5,,none,2,"['qualifier', 'secrot']",
FTXL,--,,,,,True,DIP,,4.6,,none,2,"['qualifier', 'secrot']",
PICK,--,,,,,True,TRENDING,,3.7,,none,2,"['qualifier', 'secrot']",
URNM,--,,,,,True,BREAKDOWN,,8.5,,none,2,"['qualifier', 'secrot']",
AMG,--,,,,,True,BREAKDOWN,,5.0,,none,2,"['qualifier', 'secrot']",
SAN,--,,,,,True,BREAKDOWN,,,7.0,none,2,"['qualifier', 'stock_secrot']",Financial Services
UFO,--,,,,,True,BREAKDOWN,,4.6,,none,2,"['qualifier', 'secrot']",
NLR,--,,,,,True,PULLBACK,,4.3,,none,2,"['qualifier', 'secrot']",
SMH,--,,,,,True,BREAKDOWN,,5.0,,none,2,"['qualifier', 'secrot']",
LIT,--,,,,,True,TRENDING,,4.1,,none,2,"['qualifier', 'secrot']",
WT,--,,,,,True,TRENDING,,4.9,,none,2,"['qualifier', 'secrot']",
SOXQ,--,,,,,True,BREAKDOWN,,3.4,,none,2,"['qualifier', 'secrot']",
FAN,--,,,,,True,TRENDING,,5.1,,none,2,"['qualifier', 'secrot']",
SOXX,--,,,,,True,BREAKDOWN,,5.1,,none,2,"['qualifier', 'secrot']",
EWP,--,,,,,True,TRENDING,,4.1,,none,2,"['qualifier', 'secrot']",
SHLD,--,,,,,True,PULLBACK,,4.1,,none,2,"['qualifier', 'secrot']",
PBW,--,,,,,True,BREAKDOWN,,4.3,,none,2,"['qualifier', 'secrot']",
AVNM,--,,,,,True,TRENDING,,2.0,,none,2,"['qualifier', 'secrot']",
LHX,--,,,,,True,TRENDING,,,8.0,none,2,"['qualifier', 'stock_secrot']",Industrials
XAR,--,,,,,True,PULLBACK,,3.8,,none,2,"['qualifier', 'secrot']",
EMXC,--,,,,,True,TRENDING,,4.4,,none,2,"['qualifier', 'secrot']",
AIRR,--,,,,,True,DIP,,3.3,,none,2,"['qualifier', 'secrot']",
AVEM,--,,,,,True,TRENDING,,5.3,,none,2,"['qualifier', 'secrot']",
GVAL,--,,,,,True,DIP,,3.3,,none,2,"['qualifier', 'secrot']",
FWD,--,,,,,True,PULLBACK,,4.8,,none,2,"['qualifier', 'secrot']",
PPA,--,,,,,True,PULLBACK,,4.2,,none,2,"['qualifier', 'secrot']",
XCEM,--,,,,,True,TRENDING,,3.8,,none,2,"['qualifier', 'secrot']",
ARKQ,--,,,,,True,BREAKDOWN,,4.8,,none,2,"['qualifier', 'secrot']",
GREK,--,,,,,True,BREAKDOWN,,3.3,,none,2,"['qualifier', 'secrot']",
